codepoint,character,name,ascii_replacement
U+011F,ğ,LATIN SMALL LETTER G WITH BREVE,g
U+0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,G
U+0121,ġ,LATIN SMALL LETTER G WITH DOT ABOVE,g
U+0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,G
U+0123,ģ,LATIN SMALL LETTER G WITH CEDILLA,g
U+0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,H
U+0125,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX,h
U+0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE,LETTER
U+0127,ħ,LATIN SMALL LETTER H WITH STROKE,letter
U+0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,I
U+0129,ĩ,LATIN SMALL LETTER I WITH TILDE,i
U+012A,Ī,LATIN CAPITAL LETTER I WITH MACRON,I
U+012B,ī,LATIN SMALL LETTER I WITH MACRON,i
U+012C,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,I
U+012D,ĭ,LATIN SMALL LETTER I WITH BREVE,i
U+012E,Į,LATIN CAPITAL LETTER I WITH OGONEK,I
U+012F,į,LATIN SMALL LETTER I WITH OGONEK,i
U+0130,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,I
U+0132,Ĳ,LATIN CAPITAL LIGATURE IJ,Ij
U+0133,ĳ,LATIN SMALL LIGATURE IJ,ij
U+0134,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,J
U+0135,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX,j
U+0136,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,K
U+0137,ķ,LATIN SMALL LETTER K WITH CEDILLA,k
U+0139,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,L
U+013A,ĺ,LATIN SMALL LETTER L WITH ACUTE,l
U+013B,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,L
U+013C,ļ,LATIN SMALL LETTER L WITH CEDILLA,l
U+013D,Ľ,LATIN CAPITAL LETTER L WITH CARON,L
U+013E,ľ,LATIN SMALL LETTER L WITH CARON,l
U+0141,Ł,LATIN CAPITAL LETTER L WITH STROKE,LETTER
U+0142,ł,LATIN SMALL LETTER L WITH STROKE,letter
U+0143,Ń,LATIN CAPITAL LETTER N WITH ACUTE,N
U+0144,ń,LATIN SMALL LETTER N WITH ACUTE,n
U+0145,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA,N
U+0146,ņ,LATIN SMALL LETTER N WITH CEDILLA,n
U+0147,Ň,LATIN CAPITAL LETTER N WITH CARON,N
U+0148,ň,LATIN SMALL LETTER N WITH CARON,n
U+014A,Ŋ,LATIN CAPITAL LETTER ENG,N
U+014B,ŋ,LATIN SMALL LETTER ENG,n
U+014C,Ō,LATIN CAPITAL LETTER O WITH MACRON,O
U+014D,ō,LATIN SMALL LETTER O WITH MACRON,o
U+014E,Ŏ,LATIN CAPITAL LETTER O WITH BREVE,O
U+014F,ŏ,LATIN SMALL LETTER O WITH BREVE,o
U+0150,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,O
U+0151,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE,o
U+0152,Œ,LATIN CAPITAL LIGATURE OE,Oe
U+0153,œ,LATIN SMALL LIGATURE OE,oe
U+0154,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE,R
U+0155,ŕ,LATIN SMALL LETTER R WITH ACUTE,r
U+0156,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA,R
U+0157,ŗ,LATIN SMALL LETTER R WITH CEDILLA,r
U+0158,Ř,LATIN CAPITAL LETTER R WITH CARON,R
U+0159,ř,LATIN SMALL LETTER R WITH CARON,r
U+015A,Ś,LATIN CAPITAL LETTER S WITH ACUTE,S
U+015B,ś,LATIN SMALL LETTER S WITH ACUTE,s
U+015C,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,S
U+015D,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX,s
U+015E,Ş,LATIN CAPITAL LETTER S WITH CEDILLA,S
U+015F,ş,LATIN SMALL LETTER S WITH CEDILLA,s
U+0160,Š,LATIN CAPITAL LETTER S WITH CARON,S
U+0161,š,LATIN SMALL LETTER S WITH CARON,s
U+0162,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA,T
U+0163,ţ,LATIN SMALL LETTER T WITH CEDILLA,t
U+0164,Ť,LATIN CAPITAL LETTER T WITH CARON,T
U+0165,ť,LATIN SMALL LETTER T WITH CARON,t
U+0166,Ŧ,LATIN CAPITAL LETTER T WITH STROKE,LETTER
U+0167,ŧ,LATIN SMALL LETTER T WITH STROKE,letter
U+0168,Ũ,LATIN CAPITAL LETTER U WITH TILDE,U
U+0169,ũ,LATIN SMALL LETTER U WITH TILDE,u
U+016A,Ū,LATIN CAPITAL LETTER U WITH MACRON,U
U+016B,ū,LATIN SMALL LETTER U WITH MACRON,u
U+016C,Ŭ,LATIN CAPITAL LETTER U WITH BREVE,U
U+016D,ŭ,LATIN SMALL LETTER U WITH BREVE,u
U+016E,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE,U
U+016F,ů,LATIN SMALL LETTER U WITH RING ABOVE,u
U+0170,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE,U
U+0171,ű,LATIN SMALL LETTER U WITH DOUBLE ACUTE,u
U+0172,Ų,LATIN CAPITAL LETTER U WITH OGONEK,U
U+0173,ų,LATIN SMALL LETTER U WITH OGONEK,u
U+0174,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX,W
U+0175,ŵ,LATIN SMALL LETTER W WITH CIRCUMFLEX,w
U+0176,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX,Y
U+0177,ŷ,LATIN SMALL LETTER Y WITH CIRCUMFLEX,y
U+0178,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS,Y
U+0179,Ź,LATIN CAPITAL LETTER Z WITH ACUTE,Z
U+017A,ź,LATIN SMALL LETTER Z WITH ACUTE,z
U+017B,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE,Z
U+017C,ż,LATIN SMALL LETTER Z WITH DOT ABOVE,z
U+017D,Ž,LATIN CAPITAL LETTER Z WITH CARON,Z
U+017E,ž,LATIN SMALL LETTER Z WITH CARON,z
U+0401,Ё,CYRILLIC CAPITAL LETTER IO,E
U+0402,Ђ,CYRILLIC CAPITAL LETTER DJE,D
U+0404,Є,CYRILLIC CAPITAL LETTER UKRAINIAN IE,Ie
U+0405,Ѕ,CYRILLIC CAPITAL LETTER DZE,Dz
U+0406,І,CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I,I
U+0407,Ї,CYRILLIC CAPITAL LETTER YI,I
U+0408,Ј,CYRILLIC CAPITAL LETTER JE,J
U+0409,Љ,CYRILLIC CAPITAL LETTER LJE,Lj
U+040A,Њ,CYRILLIC CAPITAL LETTER NJE,Nj
U+040C,Ќ,CYRILLIC CAPITAL LETTER KJE,K
U+040E,Ў,CYRILLIC CAPITAL LETTER SHORT U,U
U+040F,Џ,CYRILLIC CAPITAL LETTER DZHE,Dz
U+0410,А,CYRILLIC CAPITAL LETTER A,A
U+0411,Б,CYRILLIC CAPITAL LETTER BE,B
U+0412,В,CYRILLIC CAPITAL LETTER VE,V
U+0413,Г,CYRILLIC CAPITAL LETTER GHE,G
U+0414,Д,CYRILLIC CAPITAL LETTER DE,D
U+0415,Е,CYRILLIC CAPITAL LETTER IE,E
U+0416,Ж,CYRILLIC CAPITAL LETTER ZHE,Zh
U+0417,З,CYRILLIC CAPITAL LETTER ZE,Z
U+0418,И,CYRILLIC CAPITAL LETTER I,I
U+0419,Й,CYRILLIC CAPITAL LETTER SHORT I,I
U+041A,К,CYRILLIC CAPITAL LETTER KA,K
U+041B,Л,CYRILLIC CAPITAL LETTER EL,L
U+041C,М,CYRILLIC CAPITAL LETTER EM,M
U+041D,Н,CYRILLIC CAPITAL LETTER EN,N
U+041E,О,CYRILLIC CAPITAL LETTER O,O
U+041F,П,CYRILLIC CAPITAL LETTER PE,P
U+0420,Р,CYRILLIC CAPITAL LETTER ER,R
U+0421,С,CYRILLIC CAPITAL LETTER ES,S
U+0422,Т,CYRILLIC CAPITAL LETTER TE,T
U+0423,У,CYRILLIC CAPITAL LETTER U,U
U+0424,Ф,CYRILLIC CAPITAL LETTER EF,F
U+0425,Х,CYRILLIC CAPITAL LETTER HA,Kh
U+0426,Ц,CYRILLIC CAPITAL LETTER TSE,Ts
U+0427,Ч,CYRILLIC CAPITAL LETTER CHE,Ch
U+0428,Ш,CYRILLIC CAPITAL LETTER SHA,Sh
U+0429,Щ,CYRILLIC CAPITAL LETTER SHCHA,Shch
U+042A,Ъ,CYRILLIC CAPITAL LETTER HARD SIGN,Ie
U+042B,Ы,CYRILLIC CAPITAL LETTER YERU,Y
U+042C,Ь,CYRILLIC CAPITAL LETTER SOFT SIGN,
U+042D,Э,CYRILLIC CAPITAL LETTER E,E
U+042E,Ю,CYRILLIC CAPITAL LETTER YU,Iu
U+042F,Я,CYRILLIC CAPITAL LETTER YA,Ia
U+0430,а,CYRILLIC SMALL LETTER A,a
U+0431,б,CYRILLIC SMALL LETTER BE,b
U+0432,в,CYRILLIC SMALL LETTER VE,v
U+0433,г,CYRILLIC SMALL LETTER GHE,g
U+0434,д,CYRILLIC SMALL LETTER DE,d
U+0435,е,CYRILLIC SMALL LETTER IE,e
U+0436,ж,CYRILLIC SMALL LETTER ZHE,zh
U+0437,з,CYRILLIC SMALL LETTER ZE,z
U+0438,и,CYRILLIC SMALL LETTER I,i
U+0439,й,CYRILLIC SMALL LETTER SHORT I,i
U+043A,к,CYRILLIC SMALL LETTER KA,k
U+043B,л,CYRILLIC SMALL LETTER EL,l
U+043C,м,CYRILLIC SMALL LETTER EM,m
U+043D,н,CYRILLIC SMALL LETTER EN,n
U+043E,о,CYRILLIC SMALL LETTER O,o
U+043F,п,CYRILLIC SMALL LETTER PE,p
U+0440,р,CYRILLIC SMALL LETTER ER,r
U+0441,с,CYRILLIC SMALL LETTER ES,s
U+0442,т,CYRILLIC SMALL LETTER TE,t
U+0443,у,CYRILLIC SMALL LETTER U,u
U+0444,ф,CYRILLIC SMALL LETTER EF,f
U+0445,х,CYRILLIC SMALL LETTER HA,kh
U+0446,ц,CYRILLIC SMALL LETTER TSE,ts
U+0447,ч,CYRILLIC SMALL LETTER CHE,ch
U+0448,ш,CYRILLIC SMALL LETTER SHA,sh
